               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.025074,            0.020758,           0.0037265,             0.66657,              0.6705,             0.69505,             0.50025,            0.021507,            0.015856,            0.013926,            0.002872,            0.002872,            0.002872
                  38,            0.024783,              0.0206,           0.0035271,             0.64432,             0.70032,             0.70314,             0.50105,            0.021606,            0.016087,            0.010808,            0.002674,            0.002674,            0.002674
                  39,            0.024093,            0.020311,           0.0032808,             0.69747,             0.66058,             0.70807,             0.50691,            0.021207,            0.016076,            0.011539,            0.002476,            0.002476,            0.002476
                  40,            0.024023,            0.020116,           0.0031529,             0.70199,             0.66979,             0.71118,             0.50897,            0.021406,            0.016157,            0.011747,            0.002278,            0.002278,            0.002278
                  41,             0.02382,            0.019861,           0.0032343,             0.69348,             0.67682,             0.70963,             0.51115,            0.021243,            0.016132,            0.012077,             0.00208,             0.00208,             0.00208
                  42,            0.023544,            0.019893,           0.0028965,             0.66777,             0.69348,             0.70833,             0.50834,            0.021276,            0.016462,            0.011852,            0.001882,            0.001882,            0.001882
                  43,            0.023217,            0.019665,           0.0028441,             0.68256,             0.67732,             0.70658,             0.50822,            0.021304,            0.016843,            0.011433,            0.001684,            0.001684,            0.001684
                  44,            0.023103,            0.019424,            0.003036,              0.6724,             0.69313,              0.7078,             0.51306,            0.021145,            0.016485,            0.011993,            0.001486,            0.001486,            0.001486
                  45,            0.022768,            0.019466,           0.0024863,             0.66947,             0.69271,             0.70251,             0.51017,            0.021381,            0.016913,             0.01314,            0.001288,            0.001288,            0.001288
                  46,            0.022431,             0.01936,           0.0026162,             0.67162,             0.69408,              0.7052,             0.51006,            0.021487,              0.0173,            0.012765,             0.00109,             0.00109,             0.00109
                  47,             0.02224,            0.019191,           0.0026555,             0.66999,             0.68495,             0.69651,             0.50521,            0.021569,            0.017213,            0.013044,            0.000892,            0.000892,            0.000892
                  48,            0.021944,            0.019011,           0.0023109,             0.66269,             0.69464,             0.70427,             0.51037,             0.02143,            0.017037,            0.012209,            0.000694,            0.000694,            0.000694
                  49,            0.021598,            0.018869,           0.0022388,             0.66386,             0.69931,             0.70814,             0.51267,             0.02142,            0.017134,            0.012546,            0.000496,            0.000496,            0.000496
