               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.028189,            0.029327,           0.0049306,             0.74525,             0.72806,             0.78138,             0.55065,            0.024634,            0.018347,            0.011078,           0.0056688,           0.0056688,           0.0056688
                  37,            0.028022,            0.029417,           0.0048358,             0.74535,              0.7207,             0.77763,             0.54714,            0.024779,            0.018433,            0.010361,            0.005545,            0.005545,            0.005545
                  38,            0.027714,            0.029147,           0.0045483,             0.75438,             0.72722,             0.78086,              0.5552,            0.024715,            0.018549,           0.0082534,           0.0054212,           0.0054212,           0.0054212
                  39,            0.027791,            0.028859,           0.0045824,             0.74559,             0.70015,              0.7738,             0.55167,            0.024833,            0.018384,           0.0095938,           0.0052975,           0.0052975,           0.0052975
                  40,            0.027422,            0.028125,           0.0041701,             0.77168,             0.72702,             0.78725,             0.55519,            0.024574,            0.018421,           0.0096199,           0.0051737,           0.0051737,           0.0051737
                  41,            0.027487,            0.028759,           0.0046447,             0.75229,             0.71797,             0.77904,             0.55065,            0.025082,            0.018299,           0.0090143,             0.00505,             0.00505,             0.00505
                  42,            0.027009,            0.028131,           0.0041992,             0.73934,             0.73597,             0.78576,             0.55891,            0.024697,            0.018444,            0.011329,           0.0049263,           0.0049263,           0.0049263
                  43,            0.026926,            0.028154,           0.0042242,             0.75296,             0.71855,             0.78082,             0.55291,            0.024675,            0.018395,            0.010036,           0.0048025,           0.0048025,           0.0048025
                  44,            0.027259,            0.028292,           0.0046393,             0.75647,             0.73357,             0.78324,             0.55522,            0.024664,             0.01847,           0.0092459,           0.0046788,           0.0046788,           0.0046788
                  45,            0.026765,            0.027639,              0.0039,             0.75756,             0.71901,             0.79596,             0.56535,            0.024505,            0.018167,           0.0093062,            0.004555,            0.004555,            0.004555
