               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.026237,            0.028326,           0.0037954,             0.72201,             0.72497,             0.76402,              0.5443,            0.024567,             0.01866,            0.009154,            0.002872,            0.002872,            0.002872
                  38,              0.0259,            0.028103,           0.0035202,             0.72213,             0.72555,             0.76202,             0.55201,            0.024414,            0.018524,           0.0083376,            0.002674,            0.002674,            0.002674
                  39,            0.025937,            0.027775,           0.0035014,             0.72001,             0.73569,             0.77258,              0.5541,            0.024509,            0.018547,           0.0093486,            0.002476,            0.002476,            0.002476
                  40,            0.025606,            0.027055,            0.003312,             0.74704,             0.72445,             0.77681,             0.56048,            0.024457,            0.018334,           0.0085523,            0.002278,            0.002278,            0.002278
                  41,            0.025382,             0.02756,           0.0032851,             0.72332,             0.73889,             0.77459,             0.55725,            0.025126,            0.018372,           0.0082376,             0.00208,             0.00208,             0.00208
                  42,            0.024855,            0.026934,           0.0031751,             0.77297,             0.69877,             0.77488,             0.55768,            0.024904,            0.018509,            0.008162,            0.001882,            0.001882,            0.001882
                  43,            0.024728,            0.026914,           0.0031911,             0.76034,             0.70883,              0.7758,             0.55888,            0.024709,            0.018405,            0.008812,            0.001684,            0.001684,            0.001684
                  44,             0.02485,            0.026881,           0.0031515,             0.75801,             0.72384,             0.77775,             0.56316,            0.024534,            0.018417,            0.008774,            0.001486,            0.001486,            0.001486
                  45,            0.024414,            0.026369,           0.0029165,             0.74117,             0.73642,             0.77436,             0.56353,            0.024423,            0.018556,           0.0089627,            0.001288,            0.001288,            0.001288
                  46,            0.024417,            0.026729,           0.0027815,             0.73308,             0.74788,             0.77539,             0.56353,            0.024512,            0.018454,           0.0087799,             0.00109,             0.00109,             0.00109
                  47,            0.024165,            0.026336,           0.0025812,             0.77652,             0.71562,             0.78166,             0.56449,            0.024483,            0.018491,           0.0084532,            0.000892,            0.000892,            0.000892
                  48,            0.023911,             0.02619,           0.0026632,             0.76638,             0.70841,             0.77605,             0.56428,            0.024563,            0.018712,           0.0084016,            0.000694,            0.000694,            0.000694
                  49,            0.023634,            0.026352,           0.0023867,               0.733,             0.73904,             0.77642,             0.56609,            0.024624,            0.018614,           0.0082989,            0.000496,            0.000496,            0.000496
